temperature,humidity,winddirection,windspeed,precipitation,pm10
9.4,82,262,18.2,0,5.37569
9.5,84,268,20.5,0.3,24.9614
9.6,88,177,13.3,0.1,4.70004
9.7,90,176,14.1,0,5.75185
9.9,91,188,13.4,0,9.26986
9.9,90,195,12.3,0,8.58608
9.8,90,198,11.4,0.1,6.47095
9.6,91,201,13.1,0.6,5.03525
9.6,93,197,13.9,0.2,9.60013
10,91,195,15.6,0,6.94198
9.9,91,196,16.5,0,4.17237
10,91,193,17.4,0,5.62763
10.2,91,192,18.4,0,11.1628
10.2,91,198,16.6,0,9.59596
10.2,91,191,18.7,0,10.3674
10.1,92,185,21,0,11.3612
9.9,92,184,19.1,0,10.2875
9.7,93,184,17.7,0,11.2849
9.4,94,180,16.6,0.1,10.1103
9.2,94,175,17,0.1,27.4098
8.9,95,174,16.7,0,41.7444
8.6,92,175,16.3,0,28.0829
7.9,93,172,16,0,32.9321
6.6,96,171,16.4,0,33.5286
5,98,174,16.3,0,25.6387
3.7,98,174,16.7,0,19.1718
3.6,98,238,8.1,0,17.5592
4.2,98,241,9.5,0,19.0854
5.2,97,243,10.1,0,8.89686
6.1,96,243,10.1,0,6.85676
6.4,93,243,11.3,0,3.73969
6.5,90,243,13.7,0,5.91684
6.6,86,241,16.1,0,5.07511
7,87,232,17.4,0,7.36524
7.4,85,226,17.6,0,4.85397
7.9,82,218,17.4,0,3.4135
8.5,81,217,19.3,0,0.97936
8.9,79,218,14.6,0,3.24759
9,78,218,15.6,0,7.76496
9,78,221,14.3,0,8.06844
8.6,78,234,11.6,0,12.3245
8,79,240,15,0,11.4688
8.2,77,240,20.8,0,14.3509
8.4,74,237,22.9,0,16.6306
9.1,69,227,24.5,0.1,10.8123
9,73,216,24.5,0,8.56639
8.6,73,205,23.8,0,5.55299
7.8,76,205,20.6,0,11.6227
7.6,76,198,22.8,0,9.42513
7.3,78,197,19.6,0,7.94031
7,80,204,17.4,0,8.59476
7,82,211,18.9,0,8.38293
7.3,84,212,20.4,0,7.02437
7.7,86,208,22.1,1.1,5.76083
8.2,85,202,21,0.3,1.89151
8.3,83,200,20.7,0,3.42697
8.3,80,195,22.4,0,3.27558
7.8,82,185,24.2,0,1.41024
7.6,80,187,25,0,5.63503
7.9,78,189,26.2,0,4.30312
8.3,75,178,26.7,0,4.36329
8.6,73,174,25.7,0,7.4409
8.6,73,177,25.2,0,7.26563
8.7,73,179,23,0,10.8985
8.2,72,183,19.1,0,14.3583
7.5,73,192,15.5,0,18.3576
6.8,76,203,14.5,0,20.4149
6,81,216,15.5,0,13.1049
5.7,84,215,17.6,0,10.0118
6.1,81,212,18.3,0,15.7458
5.9,83,214,16.6,0,12.5352
5.7,86,218,15.6,0,8.71773
5.8,87,218,16.9,0.1,5.40528
6.1,87,211,17.3,0.4,2.62951
6.1,88,217,14.9,0.3,4.58858
5.9,90,221,13.3,0.1,5.462
5.8,91,229,12,0.1,3.67529
6.2,91,234,14.2,0.2,0.94848
6.4,91,232,15.1,0.2,0
6.5,91,228,15.5,0.3,0.23837
6.6,91,235,15,0.4,1.70308
6.6,92,243,12.6,0.5,5.13953
6.7,91,253,10.9,0.5,12.0641
7,91,253,14.7,0.5,10.7098
7.6,90,228,15.5,0.4,11.2683
8,89,229,16.6,0.4,10.5107
8.3,88,235,16.3,0.2,5.9062
8.6,88,229,17.1,0.2,5.49319
8.7,88,238,17.5,0.3,4.35722
8.9,88,228,17.8,0.2,1.88588
9.2,89,230,13.6,0.1,9.19945
9,92,213,14.6,0.3,8.64528
8.1,94,170,16.1,0.7,5.29977
6.9,95,138,19.4,0.1,2.56338
5.7,93,137,16.3,0,0
5.4,91,150,14.5,0,2.69444
4.8,90,169,12.8,0,7.46508
4.4,88,200,10.7,0,10.129
3.7,89,209,9.5,0,7.08468
3.3,89,221,8.2,0,2.22575
3.2,90,231,6.9,0,7.42888
3,91,221,10,0,7.2402
3.1,91,234,11.1,0.2,3.42102
3.2,92,238,12.8,0.1,3.29247
3.2,93,225,13.7,0.1,5.89342
3.8,92,228,14.5,0,7.09893
4,91,226,16,0.1,5.17737
4.1,91,223,16.3,0.1,4.99964
4.3,91,212,16.2,0.1,6.85747
4.1,92,191,17.6,0.2,4.82802
3.4,91,156,16.6,0.2,6.6399
2.7,83,148,16.2,0.1,7.38078
2.6,78,165,12.7,0,7.15553
1.8,75,192,11.8,0,18.2671
1,76,209,13.2,0,11.7488
0.5,77,214,14.8,0,13.3525
0.4,76,215,17.1,0,9.38966
0.4,77,216,20.1,0,6.49295
0.8,75,215,23,0,7.82329
1,75,212,23.5,0,7.73692
1.3,74,215,21.5,0,5.09115
1.6,74,208,20.8,0,3.32939
2,73,206,19.6,0,4.30975
2.3,74,203,19.5,0,2.71954
2.3,75,201,19.3,0,5.50086
2.1,77,195,18.3,0,3.46474
2.1,78,187,17.1,0,0.19844
1.9,79,181,15.8,0.1,0.0578
1,83,172,15.6,0.1,3.18971
1.1,83,162,17.1,0.1,2.89648
0.5,84,149,20.5,0,0.32798
0.1,85,146,21.8,0,1.03888
-0.1,81,143,22.4,0,2.59881
0,74,148,23,0,3.79294
0.3,64,147,28.4,0,1.87239
0.4,58,147,28.9,0,2.95229
0,62,144,25.3,0,3.83991
-0.6,65,145,20.7,0,7.68252
-1.2,67,147,18.5,0,6.14726
-1.3,67,151,18,0,5.37864
-2,70,156,16.6,0,16.0795
-2,72,162,14.8,0,22.4121
